Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
7900647126,14867853,6675,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7915529059,14787181,6711,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7930317776,2496,6720,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7930321360,14869741,6724,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7945204797,14787853,6760,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7959994122,2496,6769,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7959997738,14864717,6773,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7974876278,14787054,6809,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
7989664612,2528,6818,,,,,,,,,,0.008,3240.501,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
7989668420,14866988,6822,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8004549392,14785261,6858,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8019335965,2464,6867,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
8019340509,14873485,6871,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8034227722,14785421,6907,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8049014167,2496,6916,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
8049017751,14868749,6920,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8063899844,14785965,6956,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8078686865,2496,6965,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
8078690481,14873484,6969,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8093577981,14789550,7005,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8108368907,2496,7014,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
8108372395,14871884,7018,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8123258263,14784461,7054,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8138043812,2464,7063,,,,,,,,,,0.008,3324.674,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
8138048420,14871085,7067,32,64,3,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8152932785,14785677,7103,128,64,1,256,1,1,226,0.049,0.098,,,,,NVIDIA A100-SXM4-40GB (0),1,,7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
8167719550,2496,7112,,,,,,,,,,0.008,3282.051,Device,,NVIDIA A100-SXM4-40GB (0),1,,7,[CUDA memset]
